k,images,repeats,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,mean_detected_masks,max_detected_masks,export_s,load_s
1,11,2,973.157186569138,970.9043619222939,6.23135629948079,982.9086266690865,966.822580434382,989.0513350255787,1.0,1,18.875122003722936,2.2540090391412377
2,11,2,1013.3276529906487,1012.0094453450292,6.507244586308196,1022.9393481276929,1005.0450821872801,1027.0589515566826,2.0,2,18.82183156395331,2.257547815795988
3,11,2,1061.5574240642177,1048.4384594019502,33.69789627759387,1114.0445389319211,1017.0155824162066,1118.0971183348447,3.0,3,18.86393192084506,2.2634319071657956
4,11,2,1114.060000855137,1103.126825299114,29.271267925469303,1164.456388214603,1087.011524476111,1169.7137800510973,4.0,4,19.184514553286135,2.304865973070264
5,11,2,1159.0372572906992,1137.2306565754116,41.7542997145325,1228.8973947288468,1120.417254511267,1256.5142549574375,5.0,5,19.400167896877974,2.38551246188581
6,11,2,1220.2924535059456,1220.853342441842,39.82751281284045,1274.7931831981987,1149.9187729787081,1283.101755892858,6.0,6,20.057651666924357,2.4309206577017903
7,11,2,1258.208034792915,1261.2905385904014,10.331223956997954,1270.6474073929712,1236.9990011211485,1271.653032163158,6.909090909090909,7,20.73268422111869,2.3592100869864225
8,11,2,1322.8824961591852,1331.368337618187,26.121063664069325,1342.0239897677675,1248.339841607958,1346.4751390274614,7.818181818181818,8,20.61105164885521,2.3680573077872396
9,11,2,1290.1119127742606,1288.3970974944532,39.50033320726118,1357.494706637226,1229.3989283498377,1366.1581394262612,8.636363636363637,9,21.849099948070943,2.4119051340967417
10,11,2,1342.1542052687569,1346.9617804512382,19.130712886855356,1363.2595128146932,1304.7974314540625,1367.7783876191825,9.363636363636363,10,21.678234322927892,2.3608344797976315
11,11,2,1392.9806149734015,1420.97545042634,61.26608043965524,1436.3071364350617,1261.8394999299198,1441.9982838444412,10.090909090909092,11,21.906825255602598,2.4065982163883746
12,11,2,1447.2457777327772,1493.5454055666924,87.13067834005871,1508.0197926145047,1274.5356785599142,1510.1161368656904,10.818181818181818,12,22.540490359067917,2.415824775118381
13,11,2,1516.8506602164018,1582.2587229777128,107.5892753372541,1590.925079653971,1328.6657659336925,1591.0736590158194,11.454545454545455,13,22.92843212094158,2.437192094977945
14,11,2,1497.7322976443577,1563.1540529429913,121.43938889228724,1587.9476763075218,1277.363984612748,1589.1946649644524,11.909090909090908,14,,2.3729663928970695
15,11,2,1640.102105469189,1692.2580720856786,148.48785301081716,1762.1534186182544,1385.3731425479054,1764.6371121518314,12.545454545454545,15,22.44416667521,2.4499567155726254
16,11,2,1624.9476913362741,1667.7464465610683,130.83816079751549,1742.6115380367264,1401.5251740347594,1745.8158750087023,13.181818181818182,16,23.476270313374698,2.4285196010023355
17,11,2,1645.7553524100645,1721.708330558613,140.77073899769303,1742.098277201876,1399.1433654446155,1745.830437866971,13.818181818181818,17,23.15098635200411,2.446196563076228
18,11,2,1653.1256259715353,1709.0885327197611,152.92152092319955,1795.3430017223582,1415.5319125857204,1796.769290463999,14.0,18,23.249641230795532,2.482645411044359
19,11,2,1677.870243364437,1731.45777056925,174.46008952580945,1833.8003915268928,1382.0829463656992,1835.501261986792,14.181818181818182,19,24.251408895943314,2.5096956049092114
20,11,2,1720.3584692271595,1797.5258401129395,162.59826807836896,1855.8233972871676,1446.7971604317427,1878.9344285614789,14.272727272727273,20,24.298391377553344,2.504536212887615
