k,images,repeats,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,mean_detected_masks,max_detected_masks,export_s,load_s
1,11,2,148.72110984288156,147.48743642121553,3.4912434106421717,155.14646645169705,144.9416298419237,156.05994244106114,1.0,1,10.426966331899166,2.3914688820950687
2,11,2,157.24447181194344,157.0277565624565,2.860829180775338,161.89386474434286,154.30167689919472,162.62660594657063,2.0,2,10.610449576750398,6.347361042164266
3,11,2,165.08410312235355,164.64463900774717,2.381428891368064,168.80602622404695,161.7276854813099,169.88355293869972,3.0,3,10.912410098593682,6.5342934699729085
4,11,2,173.32659306173974,173.0175595730543,2.0636057924239215,176.2381624430418,170.1629429589957,177.89868102408946,4.0,4,11.088161247316748,6.151996910106391
5,11,2,185.05384144373238,184.76474611088634,1.5651146852687856,187.32628668658435,181.91706901416183,187.740825349465,5.0,5,11.35233964631334,6.69490825291723
6,11,2,196.66077071716163,196.68833166360855,1.0223187116987322,198.0416172882542,194.6441405452788,198.84023698978126,6.0,6,11.533223877195269,6.78291349997744
7,11,2,204.16221441701055,204.62670852430165,2.4291049740248294,206.50199940428138,197.82203435897827,207.40226143971086,6.909090909090909,7,11.56806086981669,6.462573089171201
8,11,2,213.16129686734214,214.35142843984067,4.297433061438262,215.85294615942985,200.59741707518697,216.23827749863267,7.818181818181818,8,12.269875817000866,6.040317273233086
9,11,2,221.5970611326735,224.34190707281232,6.911703814434308,225.67459999118,202.2543284110725,226.0684994980693,8.545454545454545,9,12.602433282881975,6.557424935046583
10,11,2,236.52827519584787,237.01809742487967,13.81882342641632,253.16019903402776,210.03482746891677,253.9475429803133,9.272727272727273,10,12.649615570902824,6.773486715275794
11,11,2,258.5329710590568,260.0225058849901,22.27616646604501,285.2297550998628,212.29865751229227,285.3726400062442,10.0,11,12.654952250886708,6.629327443428338
12,11,2,260.0757209584117,260.27526962570846,19.17958099314367,276.06669266242534,220.3376719262451,276.073697488755,10.818181818181818,12,13.164222623687238,6.314973095897585
13,11,2,286.4947631658817,294.5503327064216,35.150976157557714,323.93511780537665,223.00496557727456,324.01769305579364,11.545454545454545,13,13.40066747367382,6.5577532588504255
14,11,2,309.45459810424256,330.9069131501019,44.58782587919314,351.3394014444202,225.57742288336158,351.6698069870472,12.090909090909092,14,13.584183303173631,6.972073710989207
15,11,2,317.5883585248481,326.7955109477043,49.62226993317976,361.1803262028843,234.44054857827723,362.98109171912074,12.545454545454545,15,14.136565020307899,6.73565081320703
16,11,2,371.2985202543099,390.2694690041244,63.25200320388946,437.4595923582092,268.3316534385085,441.81987433694303,13.090909090909092,16,14.284032437950373,8.470569084398448
17,11,2,374.0251419896429,402.6749359909445,66.92028743750815,438.96013544872403,273.43235816806555,442.75034754537046,13.545454545454545,17,14.417230045888573,6.765182218980044
18,11,2,387.11120770312846,421.67112696915865,69.02177999610906,448.8878889242187,273.3548036776483,451.54501288197935,13.545454545454545,17,15.117412811145186,6.784978261683136
19,11,2,401.32156560536134,444.8689960408956,77.95810768163275,475.6132570328191,282.9343839548528,475.95015657134354,13.909090909090908,18,14.43122488213703,6.811240640934557
20,11,2,404.8111617184159,436.5354645997286,76.62763614454963,480.7960137259215,279.04125838540494,481.2128315679729,14.0,18,15.420468417927623,6.955239357892424
